group,status,pot_id,day,angle,rgb_path,vnir_path,vnir_800nm_path,vnir_1000nm_path
Pepper\II\Healthy,H,36,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_36.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_36.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_36.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_36.png
Pepper\II\Healthy,H,37,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_37.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_37.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_37.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_37.png
Pepper\II\Healthy,H,38,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_38.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_38.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_38.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_38.png
Pepper\II\Healthy,H,39,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_39.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_39.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_39.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_39.png
Pepper\II\Healthy,H,40,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_40.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_40.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_40.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_40.png
Pepper\II\Healthy,H,41,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_41.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_41.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_41.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_41.png
Pepper\II\Healthy,H,42,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_42.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_42.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_42.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_42.png
Pepper\II\Healthy,H,43,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_43.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_43.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_43.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_43.png
Pepper\II\Healthy,H,44,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_44.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_44.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_44.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_44.png
Pepper\II\Healthy,H,45,1,0,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_1_RGB_0_45.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_1_VNIR_0_45.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_1_VNIR_800nm_0_45.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_1_VNIR_1000nm_0_45.png
Pepper\II\Healthy,H,1,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_1.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_1.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_1.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_1.png
Pepper\II\Healthy,H,2,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_2.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_2.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_2.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_2.png
Pepper\II\Healthy,H,3,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_3.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_3.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_3.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_3.png
Pepper\II\Healthy,H,4,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_4.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_4.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_4.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_4.png
Pepper\II\Healthy,H,5,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_5.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_5.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_5.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_5.png
Pepper\II\Healthy,H,6,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_6.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_6.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_6.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_6.png
Pepper\II\Healthy,H,7,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_7.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_7.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_7.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_7.png
Pepper\II\Healthy,H,10,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_10.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_10.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_10.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_10.png
Pepper\II\Healthy,H,11,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_11.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_11.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_11.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_11.png
Pepper\II\Healthy,H,13,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_13.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_13.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_13.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_13.png
Pepper\II\Healthy,H,14,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_14.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_14.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_14.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_14.png
Pepper\II\Healthy,H,15,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_15.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_15.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_15.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_15.png
Pepper\II\Healthy,H,16,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_16.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_16.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_16.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_16.png
Pepper\II\Healthy,H,17,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_17.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_17.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_17.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_17.png
Pepper\II\Healthy,H,18,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_18.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_18.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_18.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_18.png
Pepper\II\Healthy,H,19,3,5,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_3_RGB_5_19.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_3_VNIR_5_19.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_3_VNIR_800nm_5_19.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_3_VNIR_1000nm_5_19.png
