sample_id,group,label,plant,experiment,rgb_path,vnir_path,vnir_800nm_path,vnir_1000nm_path
H_11_0_22,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_22.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_22.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_22.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_22.png
H_11_0_23,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_23.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_23.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_23.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_23.png
H_11_0_24,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_24.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_24.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_24.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_24.png
H_11_0_25,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_25.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_25.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_25.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_25.png
H_11_0_26,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_26.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_26.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_26.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_26.png
H_11_0_27,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_27.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_27.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_27.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_27.png
H_11_0_28,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_28.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_28.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_28.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_28.png
H_11_0_29,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_29.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_29.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_29.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_29.png
H_11_0_3,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_3.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_3.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_3.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_3.png
H_11_0_30,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_30.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_30.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_30.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_30.png
H_11_0_31,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_31.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_31.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_31.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_31.png
H_11_0_32,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_32.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_32.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_32.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_32.png
H_11_0_33,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_33.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_33.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_33.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_33.png
H_11_0_34,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_34.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_34.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_34.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_34.png
H_11_0_35,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_35.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_35.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_35.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_35.png
H_11_0_36,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_36.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_36.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_36.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_36.png
H_11_0_37,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_37.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_37.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_37.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_37.png
H_11_0_38,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_38.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_38.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_38.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_38.png
H_11_0_39,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_39.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_39.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_39.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_39.png
H_11_0_4,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_4.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_4.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_4.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_4.png
H_11_0_40,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_40.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_40.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_40.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_40.png
H_11_0_41,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_41.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_41.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_41.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_41.png
H_11_0_42,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_42.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_42.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_42.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_42.png
H_11_0_43,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_43.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_43.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_43.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_43.png
H_11_0_44,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_44.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_44.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_44.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_44.png
H_11_0_45,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_45.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_45.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_45.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_45.png
H_11_0_5,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_5.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_5.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_5.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_5.png
H_11_0_6,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_6.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_6.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_6.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_6.png
H_11_0_7,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_7.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_7.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_7.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_7.png
H_11_0_8,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_8.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_8.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_8.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_8.png
H_11_0_9,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_9.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_9.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_9.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_9.png
H_11_5_1,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_1.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_1.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_1.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_1.png
H_11_5_11,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_11.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_11.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_11.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_11.png
H_11_5_13,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_13.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_13.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_13.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_13.png
H_11_5_14,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_14.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_14.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_14.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_14.png
H_11_5_15,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_15.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_15.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_15.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_15.png
H_11_5_16,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_16.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_16.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_16.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_16.png
H_11_5_17,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_17.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_17.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_17.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_17.png
H_11_5_18,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_18.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_18.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_18.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_18.png
H_11_5_19,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_19.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_19.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_19.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_19.png
H_11_5_2,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_2.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_2.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_2.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_2.png
H_11_5_20,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_20.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_20.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_20.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_20.png
H_11_5_21,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_5_21.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_5_21.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_5_21.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_5_21.png
