image_path,dataset,split,folder,role,extension,width,height,mode,format,status,error
Datasets/CD&S/dataset annotated/train/gls/gls_141.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_145.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_146.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_147.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_15.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_151.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_152.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_153.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_157.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_158.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_159.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_163.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_164.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_165.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_169.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_170.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_171.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_175.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_176.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_177.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_181.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_182.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_183.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_187.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_188.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_189.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_19.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_193.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_194.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_195.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_199.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_2.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_20.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_200.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_201.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_205.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_206.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_207.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_21.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_211.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_212.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_213.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_217.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_218.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_219.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_223.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,2555,2555,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_224.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_225.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_229.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3018,3018,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_230.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_231.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_235.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_236.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_237.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_241.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_242.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_243.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_247.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_248.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_249.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_25.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_253.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_254.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_255.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_259.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_26.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_260.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_261.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_265.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_266.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_267.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_27.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_271.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_272.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_273.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_277.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_278.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
